Order,Brüt m²,Net m²,Rooms,Bath,Floors,Floor Location,Building Age,Heating Type,Furniture,Using Status,Building Status,Housing Type,Rent Earning,From,Suitable for Credit,Price,Coord1,Coord2,Street,District,Location3,Due Price,Suitable for exchange
4310,240,220,4+1,3,4,2,21-25 arası,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,,0,,Evet,3500000,41.13831265,29.03487097,Tarabya,Sarıyer, İstanbul,0,
4311,170,160,3+2,2,4,Kot 3,2,Kalorifer (Doğalgaz),Eşyasız,Boş,Sıfır,Çatı Dubleksi,1600,Danışman,Evet,320000,41.03497295,28.84042421,Kirazlı,Bağcılar, İstanbul,0,Evet
4312,95,90,2+1,1,5,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,,İnşaat Geliştirici,Evet,115000,41.02683701,28.69083085,İnönü,Esenyurt, İstanbul,,Evet
4313,140,125,3+2,2,4,3,2,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Çatı Dubleksi,1000,Danışman,Evet,310000,40.95969788,29.21479888,Fatih,Sancaktepe, İstanbul,25,
4314,120,119,3+1,1,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Dubleks,1600,,Evet,420000,41.003192,28.853174,Siyavuşpaşa,Bahçelievler, İstanbul,,
4315,120,110,2+1,3,5,Bahçe katı,0,Klima,,Boş,Sıfır,,0,,Evet,1750000,41.0855446,29.0346737,Etiler,Beşiktaş, İstanbul,500,
4316,100,90,2+1,1,5,5,21-25 arası,Kalorifer (Doğalgaz),Eşyasız,Boş,İkinci El,En Üst Kat,,Danışman,Evet,350000,41.0245738,28.95496078,Yavuz Sultan Selim,Fatih, İstanbul,30,
4317,95,80,2+1,1,6,5,26-30 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,En Üst Kat,1500,Danışman,Evet,340000,40.98860405,28.77938353,Cennet,Küçükçekmece, İstanbul,40,
4318,80,75,1+1,1,,Yüksek Giriş,,,,Boş,,Ara Kat,,İnşaat Geliştirici,Evet,169000,40.99512761,28.67177893,Yakuplu,Beylikdüzü, İstanbul,,Evet
4319,150,120,3+1,1,7,6,31-35 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,1750000,41.07622958,29.0214028,Nisbetiye,Beşiktaş, İstanbul,0,
4320,200,180,4+2,2,5,5,1,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Çatı Dubleksi,2250,İnşaat Geliştirici,Hayır,470000,40.96356721,28.65993977,Marmara,Beylikdüzü, İstanbul,50,
4321,160,130,4+1,2,5,1,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,525000,40.99453699,29.14331114,Yenişehir,Ataşehir, İstanbul,100,
4322,70,69,2+1,1,4,3,26-30 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Ara Kat,0,,Evet,350000,40.99861907,29.04085051,Acıbadem,Kadıköy, İstanbul,0,
4323,100,86,2+1,1,6,Giriş Katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,İnşaat Geliştirici,Evet,130000,41.03606468,28.66656904,Pınar,Esenyurt, İstanbul,0,Evet
4324,75,70,1+1,1,3,Yüksek Giriş,36-40 arası,Kombi (Doğalgaz),Eşyalı (Mobilyalı),Boş,İkinci El,,,,Evet,260000,41.0063115,28.94517601,Aksaray,Fatih, İstanbul,,
4325,130,125,3+1,1,6,4,4,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,,Danışman,Evet,450000,41.11878345,28.88884451,Cebeci,Sultangazi, İstanbul,,Evet
4326,120,119,3+1,2,9,3,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,640000,41.03103052,28.83012593,Güneşli,Bağcılar, İstanbul,0,
4327,80,65,1+1,1,10-20 arası,1,0,Klima,Sadece Beyaz Eşya,Kiracılı,,Ara Kat,0,,Evet,850000,41.04311875,28.96761575,İstiklal,Beyoğlu, İstanbul,0,Evet
4328,150,131,3+1,2,20 ve üzeri,Bahçe katı,16-20 arası,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Mülk Sahibi,İkinci El,Bahçe Katı,0,Danışman,Evet,685000,41.06971269,28.67830478,Bahçeşehir 2. Kısım,Başakşehir, İstanbul,350,
4329,152,145,3+1,2,4,2,0,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,Ara Kat,1700,Danışman,Evet,575000,40.98129392,28.66744335,Marmara,Beylikdüzü, İstanbul,,Evet
4330,57,45,1+1,1,10-20 arası,5,6-10 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,,0,,Evet,275000,41.12161129,28.80339616,Başakşehir,Başakşehir, İstanbul,0,
4331,125,98,3+1,2,5,4,,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,Ara Kat,,Danışman,Hayır,1460000,41.07544407,29.06776187,Küçüksu,Üsküdar, İstanbul,,
4332,95,85,1+1,1,10-20 arası,5,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,İnşaat Geliştirici,Evet,150000,40.99928364,28.65904297,Beylikdüzü OSB,Beylikdüzü, İstanbul,,Evet
4333,100,87,2+1,1,3,3,31-35 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,,2500,,Evet,625000,40.96261337,29.0854907,Suadiye,Kadıköy, İstanbul,70,
4334,117,90,2+1,2,8,2,3,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,Ara Kat,0,,Hayır,600000,41.11148437,28.7685231,Kayabaşı,Başakşehir, İstanbul,0,
4335,145,135,3+1,1,4,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Dubleksi,,Danışman,Evet,230000,41.0158193,29.22318294,Atatürk,Sancaktepe, İstanbul,,
4336,125,115,3+1,2,10-20 arası,1,16-20 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,1700,Danışman,Evet,360000,41.01049755,28.6476696,Büyükşehir,Beylikdüzü, İstanbul,100,
4337,125,110,3+1,1,4,4,21-25 arası,Yerden Isıtma,Eşyasız,Mülk Sahibi,İkinci El,En Üst Kat,3000,Danışman,Evet,830000,41.01378018,29.0367224,Barbaros,Üsküdar, İstanbul,350,
4338,95,94,2+1,1,5,Yüksek Giriş,11-15 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Ara Kat,0,,Hayır,235000,41.03090045,29.23560102,Ekşioğlu,Çekmeköy, İstanbul,0,
4339,85,84,2+1,1,,,,,,,,,,,Hayır,450000,41.11457497,29.09438588,Paşabahçe,Beykoz, İstanbul,,
4340,189,160,4+1,2,10-20 arası,4,0,Klima,Sadece Beyaz Eşya,Boş,,Ara Kat,0,,Evet,975000,41.05376255,28.68699662,Yeşilkent,Avcılar, İstanbul,0,Evet
4341,110,100,2+1,1,4,1,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,,Danışman,Evet,430000,40.98840821,28.78868665,Yeşilova,Küçükçekmece, İstanbul,,
4342,110,105,2+1,1,5,4,5,Kombi (Doğalgaz),Sadece Mutfak,Boş,İkinci El,Ara Kat,,Danışman,Evet,310000,41.0983443,28.90398236,Zübeyde Hanım,Sultangazi, İstanbul,,Evet
4343,155,145,3+2,2,4,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Çatı Dubleksi,,Danışman,Evet,620000,40.94176701,29.11840734,İdealtepe,Maltepe, İstanbul,50,
4344,110,100,2+1,1,6,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,,Evet,450000,41.00376311,28.70367489,Mustafa Kemal Paşa,Avcılar, İstanbul,,Evet
4345,100,95,2+1,1,5,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,,,0,,Evet,205000,41.09850842,28.86439886,Uğur Mumcu,Sultangazi, İstanbul,0,
4346,160,150,4+2,2,,,,,,,,,,,Evet,500000,41.0257852,28.86496648,Güneştepe,Güngören, İstanbul,,
4347,65,60,1+1,2,4,Bahçe katı,1,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,170000,41.01558851,29.12551258,Çakmak,Ümraniye, İstanbul,50,
4348,90,80,2+1,1,7,7,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,En Üst Kat,1000,Danışman,Evet,300000,40.95969623,29.21479909,Fatih,Sancaktepe, İstanbul,25,Evet
4349,115,100,3+1,1,3,2,26-30 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Ara Kat,0,,Evet,570000,40.98186315,29.06893907,Merdivenköy,Kadıköy, İstanbul,0,
4350,87,70,1+1,1,10-20 arası,4,0,Merkezi Sistem (Isı Payı Ölçer),Sadece Mutfak,Boş,Sıfır,Ara Kat,0,Danışman,Evet,385000,41.04550476,28.81154895,Mahmutbey,Bağcılar, İstanbul,0,
4351,160,130,3+1,2,10-20 arası,11,0,Klima,Sadece Beyaz Eşya,Boş,,,0,,Evet,1500000,40.97253256,29.07031342,Erenköy,Kadıköy, İstanbul,0,
4352,110,100,2+1,1,5,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,,900,,Evet,189000,41.01004029,28.67307006,Güzelyurt,Esenyurt, İstanbul,15,Evet
4353,155,154,3+1,2,10-20 arası,8,0,Kombi (Doğalgaz),Sadece Beyaz Eşya,Boş,Sıfır,,4000,,Evet,1600000,40.961583,29.084522,Suadiye,Kadıköy, İstanbul,250,
4354,90,80,2+1,1,6,Çatı Katı,26-30 arası,Kalorifer (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Teras Katı,1400,Danışman,Hayır,195000,40.99349899,28.92568569,Yedikule,Fatih, İstanbul,30,
4355,135,120,3+1,2,5,3,0,Kombi (Doğalgaz),Sadece Beyaz Eşya,Boş,Sıfır,Ara Kat,2500,Danışman,Evet,760000,41.04633692,28.53343572,Hürriyet,Büyükçekmece, İstanbul,0,Evet
4356,90,85,2+1,1,4,Yüksek Giriş,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,900,Danışman,Evet,210000,40.86013498,29.28008643,Güzelyalı,Pendik, İstanbul,0,Evet
4357,95,,2+1,1,6,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,,Evet,162500,,,Beylikdüzü OSB,Beylikdüzü, İstanbul,,
4358,118,100,3+1,1,10,1,6-10 arası,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,,,0,,Hayır,365000,41.10850723,28.76915469,Kayabaşı,Başakşehir, İstanbul,165,
4359,90,80,2+1,1,6,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,0,İnşaat Geliştirici,Evet,140000,41.0265841,28.69068484,İnönü,Esenyurt, İstanbul,0,Evet
4360,95,69,1+1,1,10-20 arası,1,2,Klima,Sadece Beyaz Eşya,Kiracılı,,Ara Kat,0,,Evet,640000,41.07762618,28.88027623,Karadeniz,Gaziosmanpaşa, İstanbul,400,
4361,80,70,2+1,1,6,Yüksek Giriş,6-10 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Giriş Kat,0,Danışman,Evet,267000,41.06362697,28.91171731,Bağlarbaşı,Gaziosmanpaşa, İstanbul,0,
4362,135,125,4+2,2,4,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Dubleks,,Danışman,Evet,525000,41.05433911,28.91674372,Rami Yeni,Eyüpsultan, İstanbul,,
4363,145,144,3+1,2,4,3,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,224999,41.00116468,28.69923456,Mustafa Kemal Paşa,Avcılar, İstanbul,40,Evet
4364,75,65,1+1,1,5,Yüksek Giriş,0,Klima,Eşyasız,Boş,,Ara Kat,0,,Evet,137000,41.00392379,28.63952067,Cumhuriyet,Beylikdüzü, İstanbul,20,Evet
4365,113,90,3+1,2,,Zemin Kat,6-10 arası,Merkezi Sistem (Isı Payı Ölçer),,Boş,İkinci El,Giriş Kat,,Danışman,Evet,615000,41.00131072,28.63277902,Adnan Kahveci,Beylikdüzü, İstanbul,500,
4366,90,80,2+1,1,8,Giriş Katı,1,Kombi (Doğalgaz),Eşyalı (Mobilyalı),Boş,,Ara Kat,0,Danışman,Evet,375000,41.01194962,29.15383642,Yukarı Dudullu,Ümraniye, İstanbul,100,
4367,200,180,5+1,2,4,4,0,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Dubleks,,,Hayır,1380000,41.00271557,28.86610039,Bahçelievler,Bahçelievler, İstanbul,,
4368,189,150,4+1,2,10-20 arası,11,0,Klima,Sadece Beyaz Eşya,Boş,,Ara Kat,0,Danışman,Evet,3100000,40.96083452,29.08524937,Suadiye,Kadıköy, İstanbul,0,
4369,120,110,3+1,1,5,1,1,Kombi (Doğalgaz),Eşyasız,Kiracılı,Sıfır,Ara Kat,,Danışman,Evet,375000,41.00557855,28.85396739,Siyavuşpaşa,Bahçelievler, İstanbul,40,
4370,135,110,2+1,2,20 ve üzeri,7,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,,Ara Kat,2500,Danışman,Evet,600000,41.06981516,28.77703572,Ziya Gökalp,Başakşehir, İstanbul,350,
4371,117,116,2+1,1,10,5,1,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1000,Danışman,Evet,250000,40.89809791,29.25980508,Velibaba,Pendik, İstanbul,250,Evet
4372,200,199,4+2,2,,,0,,,Boş,Sıfır,,0,Danışman,Evet,750000,40.98573076,28.77864202,Cennet,Küçükçekmece, İstanbul,0,
4373,64,63,1+1,1,20 ve üzeri,7,3,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,,0,,Evet,224999,41.06109042,28.71457093,Tahtakale,Avcılar, İstanbul,0,
4374,115,114,3+1,1,5,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,,0,İnşaat Geliştirici,Evet,180000,41.04569896,28.66105556,Selahaddin Eyyubi,Esenyurt, İstanbul,0,
4375,190,180,3+1,2,5,Yüksek Giriş,2,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,5500,Danışman,Evet,4000000,40.96171567,28.83620259,Yeşilyurt,Bakırköy, İstanbul,250,
4376,115,100,2+1,3,10,3,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,130000,41.01247634,28.63839287,Cumhuriyet,Beylikdüzü, İstanbul,0,Evet
4377,110,80,2+1,1,4,1,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,290000,40.87575836,29.27713752,Çamçeşme,Pendik, İstanbul,1,
4378,220,180,4+2,3,7,7,0,Kombi (Doğalgaz),,Boş,Sıfır,,,Danışman,Evet,2800000,40.9737578,29.04800063,Fenerbahçe,Kadıköy, İstanbul,,
4379,65,64,2+1,1,4,2,21-25 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,800,Danışman,Hayır,250000,40.8853564,29.21938419,Sapan Bağları,Pendik, İstanbul,25,
4380,325,300,5+1,3,4,4,11-15 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Çatı Dubleksi,15000,,Evet,4250000,41.17856454,28.88969966,Göktürk Merkez,Eyüpsultan, İstanbul,0,
4381,90,89,2+1,1,5,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,,Hayır,295000,41.0087912,29.20135975,Meclis,Sancaktepe, İstanbul,0,
4382,85,75,2+1,1,5,1,5,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,1100,Danışman,Evet,260000,41.04888767,28.86984281,Birlik,Esenler, İstanbul,30,Evet
4383,145,115,3+1,2,7,1,16-20 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,,0,,Evet,750000,40.968518,29.09567079,Kozyatağı,Kadıköy, İstanbul,0,
4384,185,170,3+2,2,5,Çatı Katı,2,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Çatı Dubleksi,,Danışman,Evet,335000,40.99627748,28.67490102,Yakuplu,Beylikdüzü, İstanbul,40,
4385,135,134,3+1,1,10-20 arası,9,0,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,Ara Kat,1750,Danışman,Evet,415000,40.97556625,29.13484097,İnönü,Ataşehir, İstanbul,35,Evet
4386,100,95,2+1,1,6,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,İnşaat Geliştirici,Evet,200000,41.01494393,28.64090681,Cumhuriyet,Beylikdüzü, İstanbul,0,Evet
4387,141,140,3+1,2,10-20 arası,15,6-10 arası,Kombi (Doğalgaz),Sadece Mutfak,Kiracılı,İkinci El,Ara Kat,3300,Danışman,Evet,1070000,41.05109559,28.78928738,Atakent,Küçükçekmece, İstanbul,350,
4388,180,160,3+2,1,4,4,31-35 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Çatı Dubleksi,0,Danışman,Evet,1100000,41.02043832,29.01290058,Aziz Mahmut Hüdayi,Üsküdar, İstanbul,0,
4389,300,299,4+1,3,3,3,16-20 arası,Kombi (Doğalgaz),,Boş,İkinci El,Çatı Dubleksi,,Danışman,Evet,27000000,41.0629155,29.03063178,Ulus,Beşiktaş, İstanbul,,
4390,105,105,2+1,1,4,1,16-20 arası,Kombi (Doğalgaz),Eşyasız,Boş,,,,,Evet,410000,40.97253273,28.73560353,Denizköşkler,Avcılar, İstanbul,,
4391,80,75,2+1,1,5,Kot 1,16-20 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Giriş Kat,1000,Danışman,Hayır,160000,41.04649389,28.87754843,Kazım Karabekir,Esenler, İstanbul,10,Evet
4392,125,120,3+1,1,5,Bahçe katı,4,Kombi (Doğalgaz),Eşyasız,Boş,,,0,Danışman,Evet,195000,41.10008759,28.86094833,Sultançiftliği,Sultangazi, İstanbul,0,
4393,120,110,2+1,1,6,3,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Hayır,75000,41.03476894,28.67430138,Bağlarçeşme,Esenyurt, İstanbul,0,Evet
4394,100,90,2+1,1,4,1,26-30 arası,Kombi (Doğalgaz),,Boş,İkinci El,Ara Kat,1800,Danışman,Hayır,350000,40.88804653,29.19398001,Çavuşoğlu,Kartal, İstanbul,,
4395,200,175,3+1,2,10,5,26-30 arası,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,Ara Kat,0,,Evet,1300000,40.96590066,29.07291461,Caddebostan,Kadıköy, İstanbul,0,
4396,170,160,2+2,2,3,3,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Dubleks,,Danışman,Evet,390000,41.0036257,28.79292134,Kemalpaşa,Küçükçekmece, İstanbul,30,
4397,115,100,2+1,2,5,2,0,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,Ara Kat,,Danışman,Evet,250000,41.09532639,28.25361163,Yeni,Silivri, İstanbul,,Evet
4398,145,130,3+1,2,4,1,2,Kombi (Doğalgaz),Sadece Mutfak,Mülk Sahibi,İkinci El,Ara Kat,3500,Danışman,Evet,1299000,41.00778358,28.8643117,Bahçelievler,Bahçelievler, İstanbul,50,
4399,170,160,3+1,2,4,2,21-25 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,,Danışman,Evet,635000,40.98761602,28.77861105,Cennet,Küçükçekmece, İstanbul,,
4400,85,80,2+1,1,4,2,5,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,0,Danışman,Evet,420000,41.01223304,28.91001332,Merkezefendi,Zeytinburnu, İstanbul,0,
4401,85,84,2+1,1,4,Bahçe katı,2,,,Mülk Sahibi,İkinci El,Bahçe Katı,,,Evet,210000,40.99539353,28.77696988,Yeni Mahalle,Küçükçekmece, İstanbul,,
