Order,Brüt m²,Net m²,Rooms,Bath,Floors,Floor Location,Building Age,Heating Type,Furniture,Using Status,Building Status,Housing Type,Rent Earning,From,Suitable for Credit,Price,Coord1,Coord2,Street,District,Location3,Due Price,Suitable for exchange
1,122,121,3+1,2,10-20 arası,7,0,Güneş Enerjisi,,,Yapım Aşamasında,,0,,Evet,610000,41.13268,28.83236,Eski Habipler,Sultangazi, İstanbul,0,
2,127,100,2+1,2,20 ve üzeri,10,0,Klima,Eşyasız,Boş,,Ara Kat,0,,Hayır,775000,41.1242023,28.77018093,Kayabaşı,Başakşehir, İstanbul,0,
3,130,129,2+1,2,5,1,6-10 arası,Klima,Sadece Beyaz Eşya,Boş,,Ara Kat,0,,Evet,630000,41.03923143,28.76435098,Atakent,Küçükçekmece, İstanbul,0,
4,125,95,3+1,2,10,9,0,Kombi (Doğalgaz),,Boş,Sıfır,Ara Kat,,,Evet,665000,40.98215049,29.08417907,Sahrayı Cedit,Kadıköy, İstanbul,,
5,120,115,3+1,1,5,Giriş Katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,,,Evet,142000,40.99960753,28.66290536,Beylikdüzü OSB,Beylikdüzü, İstanbul,,Evet
6,120,119,3+1,1,5,4,21-25 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,1600,Danışman,Evet,420000,41.01228051,28.86272013,Soğanlı,Bahçelievler, İstanbul,0,
7,90,85,2+1,1,6,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,İnşaat Geliştirici,Evet,215000,41.02783133,28.69641387,Yunus Emre,Esenyurt, İstanbul,0,Evet
8,110,100,2+1,1,,,,,,,,,,,Hayır,185000,41.05383247,28.80408268,Mehmet Akif,Küçükçekmece, İstanbul,,
9,100,90,2+1,1,4,3,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,225000,41.00928025,28.66503218,Güzelyurt,Esenyurt, İstanbul,,Evet
10,130,90,2+1,1,5,4,31-35 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,,0,,Evet,900000,41.11945209,29.09751623,İncirköy,Beykoz, İstanbul,0,
11,74,52,1+1,1,7,4,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,Sıfır,Ara Kat,2500,Danışman,Evet,750000,41.04510116,28.95889453,Piyalepaşa,Beyoğlu, İstanbul,0,Evet
12,121,105,3+1,2,3,3,21-25 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,En Üst Kat,1800,Danışman,Evet,415000,40.94200204,29.1192281,İdealtepe,Maltepe, İstanbul,,Evet
13,110,95,3+1,1,4,4,26-30 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,,1600,,Evet,340000,41.01023867,28.86821621,Haznedar,Güngören, İstanbul,30,
14,90,89,2+1,1,4,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1000,Danışman,Evet,209000,40.99856359,29.25355878,Abdurrahmangazi,Sancaktepe, İstanbul,0,
15,130,103,2+2,3,4,Çatı Katı,1,Kombi (Doğalgaz),Eşyasız,Boş,,Çatı Dubleksi,0,,Evet,710000,41.05305506,28.98231515,Duatepe,Şişli, İstanbul,0,
16,122,110,3+1,1,5,3,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Mülk Sahibi,,Ara Kat,0,,Hayır,,41.13152841,28.77983168,Kayabaşı,Başakşehir, İstanbul,0,Evet
17,80,75,2+1,1,4,Yüksek Giriş,1,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,,,Danışman,Evet,250000,40.97855778,28.74310284,Gümüşpala,Avcılar, İstanbul,,
18,105,95,2+1,2,8,5,3,Merkezi Sistem (Isı Payı Ölçer),,Mülk Sahibi,,Ara Kat,,Danışman,Hayır,330000,41.11484707,28.77088789,Kayabaşı,Başakşehir, İstanbul,,
19,137,110,3+1,2,5,Yüksek Giriş,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,Ara Kat,0,,Evet,800000,40.91722757,29.1427349,Cevizli,Maltepe, İstanbul,0,
20,70,69,2+1,2,5,2,6-10 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,1000,Danışman,Evet,310000,41.02271543,29.09750134,İstiklal,Ümraniye, İstanbul,,
21,120,119,3+1,1,5,4,0,Kombi (Doğalgaz),Eşyalı (Mobilyalı),Boş,,Ara Kat,0,Danışman,Evet,429000,40.92017189,29.21529114,Gümüşpınar,Kartal, İstanbul,0,
22,110,90,2+1,1,4,3,4,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,1300,Danışman,Evet,410000,41.01255333,29.19261635,Madenler,Ümraniye, İstanbul,50,
23,70,50,1+1,1,8,6,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,Danışman,Evet,209000,40.92822205,29.31125639,Yenişehir,Pendik, İstanbul,300,
24,160,90,2+1,1,4,Kot 4,16-20 arası,Yok,Eşyasız,Kiracılı,İkinci El,Teras Katı,8001200,İnşaat Geliştirici,Hayır,175000,,,Üniversite,Avcılar, İstanbul,,
25,110,95,3+1,1,4,2,11-15 arası,Kombi (Doğalgaz),,Boş,İkinci El,,0,,Evet,395000,41.0184441,29.17568,Necip Fazıl,Ümraniye, İstanbul,50,
26,115,90,2+1,1,5,2,40 ve üzeri,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,2000,Danışman,Hayır,400000,40.99590226,29.04375694,Hasanpaşa,Kadıköy, İstanbul,25,
27,150,135,3+1,1,10-20 arası,Yüksek Giriş,11-15 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,2500,Danışman,Evet,620000,41.07271077,28.96123052,Nurtepe,Kağıthane, İstanbul,170,
28,85,84,2+1,1,5,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,900,Danışman,Evet,190000,41.01449059,29.19432163,Çamlık,Çekmeköy, İstanbul,,Evet
29,125,115,2+1,1,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,590000,40.97353603,28.65673429,Marmara,Beylikdüzü, İstanbul,,
30,85,65,2+1,1,3,1,26-30 arası,Kalorifer (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,1650,Danışman,Evet,400000,41.00723503,28.93910482,Cerrahpaşa,Fatih, İstanbul,26,
31,177,143,3+1,2,20 ve üzeri,13,3,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,,Ara Kat,0,,Hayır,649999,41.09466698,28.77175371,Başakşehir,Başakşehir, İstanbul,0,
32,75,60,1+1,1,3,Yüksek Giriş,2,Kombi (Doğalgaz),Eşyasız,Kiracılı,Sıfır,Ara Kat,1100,Danışman,Evet,220000,41.07648031,28.98169018,Çağlayan,Kağıthane, İstanbul,,Evet
33,100,85,2+1,1,10,Giriş Katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,,0,,Evet,254500,40.92983038,29.21239261,Uğur Mumcu,Kartal, İstanbul,75,
34,130,90,3+1,2,10-20 arası,11,0,Kombi (Doğalgaz),Sadece Beyaz Eşya,Boş,Sıfır,Ara Kat,0,Danışman,Evet,1100000,40.97860212,29.06995296,Göztepe,Kadıköy, İstanbul,0,
35,200,180,4+2,3,5,Çatı Katı,4,Kombi (Doğalgaz),Eşyalı (Mobilyalı),Boş,İkinci El,Çatı Dubleksi,25000,,Evet,410000,41.06894403,28.94910512,Emniyettepe,Eyüpsultan, İstanbul,0,Evet
36,150,135,5+1,3,5,5,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Çatı Dubleksi,1500,İnşaat Geliştirici,Evet,410000,41.05125761,29.24298227,Çatalmeşe,Çekmeköy, İstanbul,50,Evet
37,55,40,1+1,1,6,Yüksek Giriş,3,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Ara Kat,0,,Evet,148000,41.0192306,29.22557216,Aydınlar,Çekmeköy, İstanbul,35,Evet
38,110,100,2+1,2,6,2,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,215000,41.04350496,28.68549344,Süleymaniye,Esenyurt, İstanbul,0,
39,122,110,3+1,1,5,3,5,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,,Danışman,Evet,245000,41.02579784,28.68019681,Üçevler,Esenyurt, İstanbul,,
40,115,100,3+1,1,4,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1200,Danışman,Evet,312000,40.97453525,29.25701873,Adil,Sultanbeyli, İstanbul,50,
41,80,80,2+1,1,5,Giriş Katı,0,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Giriş Kat,1500,Danışman,Evet,680000,41.02679831,29.02619583,Selami Ali,Üsküdar, İstanbul,35,
42,135,125,3+1,2,10,3,16-20 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,320000,41.00445327,29.12776438,Tatlısu,Ümraniye, İstanbul,0,
43,90,75,2+1,2,6,5,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,540000,40.87651885,29.22946657,Batı,Pendik, İstanbul,0,Evet
44,115,114,2+1,1,4,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1000,İnşaat Geliştirici,Evet,175000,41.00147194,28.69975662,Mustafa Kemal Paşa,Avcılar, İstanbul,30,Evet
45,90,85,2+1,1,4,1,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,845000,41.00795709,28.86916452,Bahçelievler,Bahçelievler, İstanbul,0,
46,105,88,2+1,1,9,1,0,Kombi (Doğalgaz),Eşyasız,Boş,,,0,,Evet,310000,40.89649522,29.25061818,Çınardere,Pendik, İstanbul,0,
47,120,119,3+1,1,3,3,31-35 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,En Üst Kat,0,Danışman,Evet,480000,40.92927884,29.12481334,Feyzullah,Maltepe, İstanbul,40,
48,130,110,3+1,2,4,Çatı Katı,2,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,Çatı Dubleksi,,Danışman,Evet,205000,40.98210214,29.24034063,Osmangazi,Sancaktepe, İstanbul,,
49,110,100,2+1,2,4,3,4,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,243000,40.98387112,29.24556229,Osmangazi,Sancaktepe, İstanbul,0,
50,145,115,3+1,2,10-20 arası,3,1,Merkezi Sistem (Isı Payı Ölçer),Sadece Beyaz Eşya,Kiracılı,,,0,Danışman,Evet,1240000,40.97354589,29.05959126,Göztepe,Kadıköy, İstanbul,0,
51,175,155,5+1,2,4,4,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Çatı Dubleksi,0,,Evet,455000,40.86415764,29.28552718,Güzelyalı,Pendik, İstanbul,25,
52,90,89,2+1,2,10,9,0,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,Ara Kat,1250000,Danışman,Evet,300000,40.88710156,29.27278094,Esenler,Pendik, İstanbul,,
53,140,125,3+1,2,5,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,,Evet,650000,41.01963905,28.84038806,Kocasinan Merkez,Bahçelievler, İstanbul,0,
54,100,90,2+1,1,5,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,,,0,,Evet,145999,41.01031072,28.66618765,Güzelyurt,Esenyurt, İstanbul,0,Evet
55,90,89,2+1,1,5,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Hayır,255000,41.01486867,29.19479371,Çamlık,Çekmeköy, İstanbul,,
56,80,70,1+1,1,8,1,40 ve üzeri,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,2000,Danışman,Evet,450000,41.0542662,28.99317264,Meşrutiyet,Şişli, İstanbul,60,
57,75,70,2+1,1,4,Yüksek Giriş,6-10 arası,Kombi (Doğalgaz),,,,,,Danışman,Evet,210000,41.0570871,28.91707479,Merkez,Gaziosmanpaşa, İstanbul,,
58,110,109,2+1,1,6,1,1,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,95000,41.03870809,28.6843334,Yenikent,Esenyurt, İstanbul,0,Evet
59,117,100,3+1,2,6,Giriş Katı,3,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Bahçe Katı,1750,Danışman,Evet,415000,40.88465037,29.23145363,Yeni,Pendik, İstanbul,0,
60,95,90,2+1,1,,4,21-25 arası,Kombi (Doğalgaz),,,,,,,Hayır,380000,41.00281779,28.9101037,Telsiz,Zeytinburnu, İstanbul,,
61,160,150,2+2,2,5,5,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,En Üst Kat,,Danışman,Evet,600000,41.01049867,28.60272147,Atatürk,Büyükçekmece, İstanbul,,
62,195,180,4+1,2,4,4,4,Kombi (Doğalgaz),Eşyasız,Boş,,,0,,Evet,325000,41.13950413,28.46251216,Ferhatpaşa,Çatalca, İstanbul,0,Evet
63,75,65,2+1,1,4,1,1,Soba (Doğalgaz),Eşyasız,Mülk Sahibi,,,0,,Evet,285000,41.03904596,28.88077015,Menderes,Esenler, İstanbul,0,
64,72,71,1+1,1,9,3,1,Klima,Sadece Beyaz Eşya,Kiracılı,,Ara Kat,0,,Evet,210000,41.0306901,29.23165461,Taşdelen,Çekmeköy, İstanbul,225,
65,155,140,3+1,1,6,2,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,1500,İnşaat Geliştirici,Evet,289500,41.01025176,28.67061117,Güzelyurt,Esenyurt, İstanbul,40,Evet
66,73,70,2+1,1,3,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,,Bahçe Katı,800,,Evet,140000,41.04480069,28.86107953,Tuna,Esenler, İstanbul,0,
67,85,80,2+1,1,4,Kot 1,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,0,Danışman,Evet,280000,41.07974714,28.96682024,Nurtepe,Kağıthane, İstanbul,0,
68,110,105,2+1,2,4,2,1,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,15000,İnşaat Geliştirici,Evet,285000,41.00408698,28.70298825,Mustafa Kemal Paşa,Avcılar, İstanbul,,Evet
69,110,100,2+1,1,4,Bahçe katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Bahçe Katı,0,,Evet,225000,41.06226531,28.9026539,Şemsipaşa,Gaziosmanpaşa, İstanbul,0,
70,120,115,3+1,1,5,1,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,1500,Danışman,Evet,355000,40.97664249,29.12999442,İnönü,Ataşehir, İstanbul,50,
71,156,130,4+1,1,7,4,11-15 arası,Kombi (Doğalgaz),,Boş,İkinci El,Ara Kat,,Danışman,Evet,400000,41.07091313,28.66594207,Bahçeşehir 2. Kısım,Başakşehir, İstanbul,,
72,140,135,3+1,1,5,1,4,Kombi (Doğalgaz),Sadece Mutfak,Boş,İkinci El,Ara Kat,,Danışman,Evet,450000,40.97965052,28.7451579,Gümüşpala,Avcılar, İstanbul,,
73,95,90,2+1,1,4,2,16-20 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,1600,Danışman,Evet,350000,40.98312291,28.89453918,Sümer,Zeytinburnu, İstanbul,,
74,105,95,2+1,1,6,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,,İnşaat Geliştirici,Evet,145000,40.99196137,28.67362401,Yakuplu,Beylikdüzü, İstanbul,,Evet
75,125,100,3+1,2,8,4,3,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,2000,Danışman,Evet,540000,41.02828326,29.21019707,Güngören,Çekmeköy, İstanbul,300,Evet
76,115,110,3+1,1,5,3,3,Kombi (Doğalgaz),Eşyasız,Kiracılı,Sıfır,Ara Kat,,Danışman,Evet,455000,40.99954775,28.84783942,Şirinevler,Bahçelievler, İstanbul,,
77,130,117,3+1,2,3,1,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,300000,40.99506996,29.24762251,Abdurrahmangazi,Sancaktepe, İstanbul,0,
78,190,180,4+2,2,5,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Dubleks,1900,Danışman,Evet,430000,41.10196058,28.88126136,Esentepe,Sultangazi, İstanbul,,
79,90,85,2+1,1,3,Bahçe katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,,0,,Evet,290000,41.0780102,29.00453338,Ortabayır,Kağıthane, İstanbul,0,
80,115,110,2+1,2,5,,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,,2000,Danışman,Evet,400000,41.18638837,28.75005712,Anadolu,Arnavutköy, İstanbul,0,
81,90,89,2+1,2,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,255000,40.93828269,29.28100204,Necip Fazıl,Sultanbeyli, İstanbul,0,Evet
82,85,80,2+1,1,5,Zemin Kat,16-20 arası,Kombi (Doğalgaz),Eşyalı (Mobilyalı),Boş,,Bahçe Katı,2100,Danışman,Evet,395000,41.04623398,29.00393555,Türkali,Beşiktaş, İstanbul,0,
83,130,120,3+1,1,4,1,4,Kombi (Doğalgaz),Sadece Mutfak,Boş,İkinci El,Ara Kat,1000,Danışman,Evet,289000,40.99544901,29.24842511,Abdurrahmangazi,Sancaktepe, İstanbul,,
84,145,140,3+1,1,5,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,İnşaat Geliştirici,Evet,238000,,,Selahaddin Eyyubi,Esenyurt, İstanbul,,Evet
85,145,130,3+1,2,10,4,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,İnşaat Geliştirici,Evet,340000,41.01017372,28.64663963,Büyükşehir,Beylikdüzü, İstanbul,,Evet
86,90,80,2+1,1,5,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1000,Danışman,Evet,164500,40.99091184,28.66614816,Yakuplu,Beylikdüzü, İstanbul,15,Evet
87,185,160,3+2,1,5,4,0,Kombi (Doğalgaz),Eşyasız,Boş,,,0,,Evet,425000,40.9065627,29.28712976,Şeyhli,Pendik, İstanbul,50,Evet
88,90,89,2+1,1,10,8,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,Ara Kat,,Danışman,Evet,720000,40.98665019,29.08544887,Sahrayı Cedit,Kadıköy, İstanbul,,
89,130,120,3+1,1,5,Yüksek Giriş,0,Kalorifer (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,,Danışman,Evet,114000,40.9970911,28.70333157,Mustafa Kemal Paşa,Avcılar, İstanbul,25,Evet
90,95,85,2+1,1,5,3,11-15 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,Ara Kat,0,,Evet,289000,41.06252428,28.91847402,Sarıgöl,Gaziosmanpaşa, İstanbul,0,
91,101,86,2+1,1,20 ve üzeri,12,3,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,,,0,,Hayır,340000,41.12562501,28.7764583,Kayabaşı,Başakşehir, İstanbul,0,
92,110,95,2+1,1,5,Kot 1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,,İnşaat Geliştirici,Evet,105000,41.01467831,28.63590378,Cumhuriyet,Beylikdüzü, İstanbul,,Evet
93,85,80,2+1,1,5,Giriş Katı,1,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,,Danışman,Evet,200000,41.10970382,28.85191903,İsmetpaşa,Sultangazi, İstanbul,,
94,132,97,3+1,1,10-20 arası,13,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,En Üst Kat,0,,Evet,650000,41.03874282,28.78789911,Halkalı Merkez,Küçükçekmece, İstanbul,350,
95,118,105,3+1,1,5,1,21-25 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,2200,Danışman,Evet,800000,41.11668649,29.03517701,Pınar,Sarıyer, İstanbul,235,
96,86,86,1+1,1,20 ve üzeri,9,2,Klima,Sadece Beyaz Eşya,Kiracılı,,Ara Kat,0,,Hayır,785000,41.11649157,29.01153562,Maslak,Sarıyer, İstanbul,0,Evet
97,100,90,2+1,1,10-20 arası,5,3,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,2000,Danışman,Evet,610000,41.0330797,28.86773227,Merkez,Bağcılar, İstanbul,230,
98,90,78,2+1,2,6,Kot 4,0,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,En Üst Kat,1000,Danışman,Evet,260000,41.0223222,29.2262396,Cumhuriyet,Çekmeköy, İstanbul,40,Evet
99,125,110,3+1,1,4,1,16-20 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Hayır,360000,41.08669298,29.00385207,Emniyet Evleri,Kağıthane, İstanbul,0,
100,108,107,2+1,2,20 ve üzeri,9,0,Klima,Sadece Beyaz Eşya,Boş,,Ara Kat,0,,Evet,733950,40.90463127,29.17973708,Esentepe,Kartal, İstanbul,280,
101,90,80,2+1,1,3,2,0,Kombi (Doğalgaz),Sadece Beyaz Eşya,Boş,,Ara Kat,0,,Evet,350000,40.97743041,29.14880693,Kayışdağı,Ataşehir, İstanbul,0,
102,85,80,2+1,1,5,Kot 1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,,Danışman,Evet,160000,41.11289909,28.86712934,Cebeci,Sultangazi, İstanbul,,
103,160,150,3+1,2,8,4,3,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,760000,41.00749273,28.6321557,Adnan Kahveci,Beylikdüzü, İstanbul,0,Evet
104,90,90,2+1,1,4,1,16-20 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,,0,,Evet,315000,41.02094912,28.86719909,Merkez,Güngören, İstanbul,0,
105,110,90,2+1,2,4,Bahçe katı,0,Klima,Sadece Beyaz Eşya,Boş,,Ters Dubleks,0,,Evet,290000,41.02557425,28.58745474,19 Mayıs,Büyükçekmece, İstanbul,25,Evet
106,200,160,4+2,2,4,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Çatı Dubleksi,3000,Danışman,Evet,1070000,41.02739659,29.07871441,Kısıklı,Üsküdar, İstanbul,70,
107,105,104,2+1,1,3,2,0,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,Ara Kat,1100,Danışman,Evet,350000,41.04557758,28.86449039,Tuna,Esenler, İstanbul,35,
108,140,139,3+1,2,4,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1300,Danışman,Evet,199999,40.99037863,28.70579132,Cihangir,Avcılar, İstanbul,25,Evet
109,165,164,4+2,2,5,4,3,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Çatı Dubleksi,0,,Evet,425000,41.11325034,28.84664029,Malkoçoğlu,Sultangazi, İstanbul,0,
110,110,110,2+1,1,2,Kot 2,16-20 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,En Üst Kat,1100,,Evet,270000,40.97708831,28.73185702,Denizköşkler,Avcılar, İstanbul,20,
111,183,150,3+1,2,20 ve üzeri,16,1,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Mülk Sahibi,,,0,,Hayır,1075000,41.1243789,28.77011613,Kayabaşı,Başakşehir, İstanbul,0,
112,105,100,2+1,2,5,2,4,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,Ara Kat,0,,Evet,399000,41.11153963,28.85324067,İsmetpaşa,Sultangazi, İstanbul,0,
113,180,160,3+1,2,5,5,11-15 arası,Kombi (Doğalgaz),Eşyasız,Boş,,,0,Danışman,Evet,400000,41.06029771,28.91638796,Sarıgöl,Gaziosmanpaşa, İstanbul,0,
114,90,85,2+1,1,4,4,26-30 arası,Kombi (Doğalgaz),Eşyalı (Mobilyalı),Mülk Sahibi,İkinci El,Ara Kat,1300,Danışman,Evet,320000,41.05039239,28.91967516,Rami Cuma,Eyüpsultan, İstanbul,20,
115,150,105,2+1,2,20 ve üzeri,Kot 1,0,Merkezi Sistem (Isı Payı Ölçer),,,,Ara Kat,0,,Hayır,125000,41.06846782,28.77408937,Ziya Gökalp,Başakşehir, İstanbul,0,
116,85,85,2+1,1,6,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,650,Danışman,Evet,99500,40.99372714,28.66025957,Beylikdüzü OSB,Beylikdüzü, İstanbul,25,Evet
117,110,95,10 ve üzeri,1,4,3,26-30 arası,Kombi (Doğalgaz),,Boş,İkinci El,,0,,Evet,570000,41.02962,29.02754,Sultantepe,Üsküdar, İstanbul,0,
118,120,110,3+1,2,10-20 arası,10,2,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,İnşaat Geliştirici,Evet,250000,40.99364772,28.65861382,Beylikdüzü OSB,Beylikdüzü, İstanbul,,Evet
119,85,75,1+1,1,5,3,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,,İnşaat Geliştirici,Evet,140000,41.00087676,28.67481519,Yakuplu,Beylikdüzü, İstanbul,,Evet
120,160,145,3+1,2,9,3,11-15 arası,Kombi (Doğalgaz),Sadece Mutfak,Kiracılı,İkinci El,Ara Kat,3000,Danışman,Evet,875000,41.01320974,28.88621159,Mehmet Nesih Özmen,Güngören, İstanbul,,
121,110,100,2+1,1,6,3,0,Kalorifer (Doğalgaz),Eşyasız,Boş,,Ara Kat,,Danışman,Evet,190000,41.03987338,28.68553503,Yenikent,Esenyurt, İstanbul,,
122,65,60,1+1,1,3,Bodrum Kat,16-20 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Bahçe Katı,1000,Danışman,Hayır,165000,40.99127883,28.90568208,Gökalp,Zeytinburnu, İstanbul,,
123,90,80,2+1,1,3,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1250,Danışman,Evet,285000,40.88099249,29.28282609,Kavakpınar,Pendik, İstanbul,50,
124,100,95,2+1,2,5,3,0,Kalorifer (Doğalgaz),Eşyasız,Boş,Sıfır,,,,Evet,138000,40.99282241,28.6748295,Yakuplu,Beylikdüzü, İstanbul,20,Evet
125,180,179,3+2,2,4,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Dubleks,1500,İnşaat Geliştirici,Evet,470000,41.06674977,28.91548455,Bağlarbaşı,Gaziosmanpaşa, İstanbul,0,
126,125,115,3+1,1,5,2,1,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,İnşaat Geliştirici,Evet,265000,41.00062985,28.70319843,Mustafa Kemal Paşa,Avcılar, İstanbul,0,Evet
127,80,70,2+1,1,3,1,0,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Ara Kat,0,,Evet,224000,41.02499938,28.77320231,İstasyon,Küçükçekmece, İstanbul,0,
128,150,145,2+1,2,4,4,16-20 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Dubleks,,,Evet,550000,41.00321532,28.93660897,Cerrahpaşa,Fatih, İstanbul,,
